survey	contact_type	part_age	cont_age	m_est
baseline	all	[0,5)	[0,5)	3.494590509338394
baseline	all	[0,5)	[5,10)	1.4273129511492026
baseline	all	[0,5)	[10,20)	1.265152960542878
baseline	all	[0,5)	[20,30)	1.496213371794675
baseline	all	[0,5)	[30,40)	1.967564569143683
baseline	all	[0,5)	[40,50)	1.4340672130023078
baseline	all	[0,5)	[50,60)	0.976926938382506
baseline	all	[0,5)	[60,70)	0.5746873506574687
baseline	all	[0,5)	[70,80)	0.19849708022643867
baseline	all	[0,5)	[80,Inf]	0.06106990348617109
baseline	all	[5,10)	[0,5)	1.3399121246201668
baseline	all	[5,10)	[5,10)	7.875185522012958
baseline	all	[5,10)	[10,20)	3.5181920208761595
baseline	all	[5,10)	[20,30)	1.974544756732102
baseline	all	[5,10)	[30,40)	2.0088654851707193
baseline	all	[5,10)	[40,50)	1.8754304985618355
baseline	all	[5,10)	[50,60)	1.085702366687763
baseline	all	[5,10)	[60,70)	0.5693401809919952
baseline	all	[5,10)	[70,80)	0.23536949804966442
baseline	all	[5,10)	[80,Inf]	0.06759336888389147
baseline	all	[10,20)	[0,5)	0.5474961773320518
baseline	all	[10,20)	[5,10)	1.6217958756588196
baseline	all	[10,20)	[10,20)	9.372980340512816
baseline	all	[10,20)	[20,30)	2.9398776327133365
baseline	all	[10,20)	[30,40)	1.8929965901945904
baseline	all	[10,20)	[40,50)	2.1421668924585897
baseline	all	[10,20)	[50,60)	1.4002006267382345
baseline	all	[10,20)	[60,70)	0.6026966185461295
baseline	all	[10,20)	[70,80)	0.2532536461012461
baseline	all	[10,20)	[80,Inf]	0.10041094702778358
baseline	all	[20,30)	[0,5)	0.6052669806097802
baseline	all	[20,30)	[5,10)	0.8508656091460638
baseline	all	[20,30)	[10,20)	2.74815490843337
baseline	all	[20,30)	[20,30)	4.660998436670365
baseline	all	[20,30)	[30,40)	2.527614107914557
baseline	all	[20,30)	[40,50)	2.177938801714926
baseline	all	[20,30)	[50,60)	1.6977296390820926
baseline	all	[20,30)	[60,70)	0.7813622354902086
baseline	all	[20,30)	[70,80)	0.33861788398205034
baseline	all	[20,30)	[80,Inf]	0.21078100279138473
baseline	all	[30,40)	[0,5)	0.8371042176691904
baseline	all	[30,40)	[5,10)	0.9104223994342944
baseline	all	[30,40)	[10,20)	1.861051658804768
baseline	all	[30,40)	[20,30)	2.6583117537801773
baseline	all	[30,40)	[30,40)	3.6401956144690932
baseline	all	[30,40)	[40,50)	2.606971874603042
baseline	all	[30,40)	[50,60)	1.724865967805373
baseline	all	[30,40)	[60,70)	0.9087630749504338
baseline	all	[30,40)	[70,80)	0.4044531183673342
baseline	all	[30,40)	[80,Inf]	0.2391144196028352
baseline	all	[40,50)	[0,5)	0.5308569408933109
baseline	all	[40,50)	[5,10)	0.7395173022525432
baseline	all	[40,50)	[10,20)	1.8324109461888634
baseline	all	[40,50)	[20,30)	1.9929681508886685
baseline	all	[40,50)	[30,40)	2.2682919898534637
baseline	all	[40,50)	[40,50)	3.440063139165821
baseline	all	[40,50)	[50,60)	1.9333562131618074
baseline	all	[40,50)	[60,70)	0.9521929637675718
baseline	all	[40,50)	[70,80)	0.4629846505990508
baseline	all	[40,50)	[80,Inf]	0.2350909493325399
baseline	all	[50,60)	[0,5)	0.344564670309485
baseline	all	[50,60)	[5,10)	0.4079036287712214
baseline	all	[50,60)	[10,20)	1.1411979324034855
baseline	all	[50,60)	[20,30)	1.4802060974649558
baseline	all	[50,60)	[30,40)	1.4299471056713693
baseline	all	[50,60)	[40,50)	1.8421059308668486
baseline	all	[50,60)	[50,60)	2.2801806863360388
baseline	all	[50,60)	[60,70)	1.1851089490774733
baseline	all	[50,60)	[70,80)	0.5416602945611289
baseline	all	[50,60)	[80,Inf]	0.2973048128224239
baseline	all	[60,70)	[0,5)	0.24055132497775442
baseline	all	[60,70)	[5,10)	0.2538583154662626
baseline	all	[60,70)	[10,20)	0.5829571924244691
baseline	all	[60,70)	[20,30)	0.8084953259351493
baseline	all	[60,70)	[30,40)	0.8940959717203579
baseline	all	[60,70)	[40,50)	1.0767111941124612
baseline	all	[60,70)	[50,60)	1.406474841117804
baseline	all	[60,70)	[60,70)	1.8732402925786806
baseline	all	[60,70)	[70,80)	0.9156915117339641
baseline	all	[60,70)	[80,Inf]	0.3855620356573845
baseline	all	[70,80)	[0,5)	0.12549511926993515
baseline	all	[70,80)	[5,10)	0.15851542830980753
baseline	all	[70,80)	[10,20)	0.36998828987029025
baseline	all	[70,80)	[20,30)	0.5292006557712224
baseline	all	[70,80)	[30,40)	0.6010208750594326
baseline	all	[70,80)	[40,50)	0.7907371074506658
baseline	all	[70,80)	[50,60)	0.9709349827124683
baseline	all	[70,80)	[60,70)	1.3830916168363296
baseline	all	[70,80)	[70,80)	1.9937579856415948
baseline	all	[70,80)	[80,Inf]	0.799441224578396
baseline	all	[80,Inf]	[0,5)	0.06969966175003825
baseline	all	[80,Inf]	[5,10)	0.08217968514059089
baseline	all	[80,Inf]	[10,20)	0.2648260563606529
baseline	all	[80,Inf]	[20,30)	0.5946718651446233
baseline	all	[80,Inf]	[30,40)	0.6414663288787327
baseline	all	[80,Inf]	[40,50)	0.724838546001191
baseline	all	[80,Inf]	[50,60)	0.9620439213576377
baseline	all	[80,Inf]	[60,70)	1.0513231300744927
baseline	all	[80,Inf]	[70,80)	1.4432739799349845
baseline	all	[80,Inf]	[80,Inf]	1.1852686865783029
baseline	community	[0,5)	[0,5)	2.8296414929734603
baseline	community	[0,5)	[5,10)	1.1698030713475958
baseline	community	[0,5)	[10,20)	1.1322390547131307
baseline	community	[0,5)	[20,30)	1.125880240234664
baseline	community	[0,5)	[30,40)	1.2330579983106473
baseline	community	[0,5)	[40,50)	1.1041392119973612
baseline	community	[0,5)	[50,60)	0.9011806950799955
baseline	community	[0,5)	[60,70)	0.5536360022167072
baseline	community	[0,5)	[70,80)	0.2000324888548088
baseline	community	[0,5)	[80,Inf]	0.06039934308510147
baseline	community	[5,10)	[0,5)	1.0981678897382574
baseline	community	[5,10)	[5,10)	6.6642026301223405
baseline	community	[5,10)	[10,20)	3.245850290879602
baseline	community	[5,10)	[20,30)	1.7503070028604473
baseline	community	[5,10)	[30,40)	1.4451520056001994
baseline	community	[5,10)	[40,50)	1.3280923778386025
baseline	community	[5,10)	[50,60)	0.9325959080151316
baseline	community	[5,10)	[60,70)	0.5427458887168904
baseline	community	[5,10)	[70,80)	0.23104001925149434
baseline	community	[5,10)	[80,Inf]	0.06986730530323391
baseline	community	[10,20)	[0,5)	0.48997815204429895
baseline	community	[10,20)	[5,10)	1.4962517734142953
baseline	community	[10,20)	[10,20)	8.36473242249451
baseline	community	[10,20)	[20,30)	2.818006896730883
baseline	community	[10,20)	[30,40)	1.6405009943820277
baseline	community	[10,20)	[40,50)	1.5518108819772412
baseline	community	[10,20)	[50,60)	1.0941153860715473
baseline	community	[10,20)	[60,70)	0.5653179088326695
baseline	community	[10,20)	[70,80)	0.2543744965006043
baseline	community	[10,20)	[80,Inf]	0.10025809645386521
baseline	community	[20,30)	[0,5)	0.45545553636366864
baseline	community	[20,30)	[5,10)	0.7542386301981665
baseline	community	[20,30)	[10,20)	2.634231286918278
baseline	community	[20,30)	[20,30)	4.337406995893873
baseline	community	[20,30)	[30,40)	2.3439716416021805
baseline	community	[20,30)	[40,50)	1.8767278738336926
baseline	community	[20,30)	[50,60)	1.38386415146392
baseline	community	[20,30)	[60,70)	0.7073507163782057
baseline	community	[20,30)	[70,80)	0.3331744513788723
baseline	community	[20,30)	[80,Inf]	0.19256037657534383
baseline	community	[30,40)	[0,5)	0.5246060477807282
baseline	community	[30,40)	[5,10)	0.6549455200994936
baseline	community	[30,40)	[10,20)	1.6128142555802258
baseline	community	[30,40)	[20,30)	2.465173826622544
baseline	community	[30,40)	[30,40)	3.3127795324014246
baseline	community	[30,40)	[40,50)	2.392518200560706
baseline	community	[30,40)	[50,60)	1.5915444507213923
baseline	community	[30,40)	[60,70)	0.8582516833349187
baseline	community	[30,40)	[70,80)	0.4039687449612349
baseline	community	[30,40)	[80,Inf]	0.22686394148314598
baseline	community	[40,50)	[0,5)	0.408726297375404
baseline	community	[40,50)	[5,10)	0.5236920332161588
baseline	community	[40,50)	[10,20)	1.327414962508566
baseline	community	[40,50)	[20,30)	1.717338804497446
baseline	community	[40,50)	[30,40)	2.0816993655572094
baseline	community	[40,50)	[40,50)	3.0536894257614486
baseline	community	[40,50)	[50,60)	1.7913855788149753
baseline	community	[40,50)	[60,70)	0.9343442636681989
baseline	community	[40,50)	[70,80)	0.46450110703912023
baseline	community	[40,50)	[80,Inf]	0.23262179333846839
baseline	community	[50,60)	[0,5)	0.3178485790048195
baseline	community	[50,60)	[5,10)	0.35038117285007364
baseline	community	[50,60)	[10,20)	0.8917333916071326
baseline	community	[50,60)	[20,30)	1.2065552608875036
baseline	community	[50,60)	[30,40)	1.3194202812124007
baseline	community	[50,60)	[40,50)	1.7068374768685808
baseline	community	[50,60)	[50,60)	1.9162561860676106
baseline	community	[50,60)	[60,70)	1.0905026031681981
baseline	community	[50,60)	[70,80)	0.5441526576582598
baseline	community	[50,60)	[80,Inf]	0.2933250005596381
baseline	community	[60,70)	[0,5)	0.23173950264408624
baseline	community	[60,70)	[5,10)	0.2420003544572118
baseline	community	[60,70)	[10,20)	0.5468018630487002
baseline	community	[60,70)	[20,30)	0.7319128663375176
baseline	community	[60,70)	[30,40)	0.844398614798674
