"X0.4","X5.9","X10.19","X20.29","X30.39","X40.49","X50.59","X60.69","X70.79","X80.99"
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1
0,0,0,1,0,0,1,1,1,3
0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,3,5
0,0,0,1,0,2,0,3,4,5
0,0,0,0,0,0,0,1,2,5
0,0,0,0,1,0,4,1,5,5
0,0,0,0,0,1,1,1,4,6
0,0,0,0,1,2,3,6,3,8
0,0,0,0,0,0,1,5,10,4
0,0,0,0,0,0,4,8,4,9
0,0,1,0,0,2,4,10,15,16
0,0,1,0,1,3,4,12,12,5
2,0,0,1,3,2,4,11,24,11
2,0,0,1,1,6,7,18,25,23
0,0,0,3,0,2,13,16,35,25
1,0,0,3,1,4,12,22,25,23
0,0,0,4,0,8,21,22,29,22
0,0,1,4,9,11,19,38,64,46
0,0,0,3,6,15,28,36,64,49
2,0,1,1,7,17,45,57,74,60
2,0,1,5,8,22,39,76,111,90
0,1,1,6,10,23,45,80,103,81
0,0,2,1,12,16,45,64,89,74
2,0,1,4,5,14,48,59,103,69
0,0,0,6,13,43,97,132,184,97
1,0,2,3,10,34,68,124,158,97
3,1,2,5,17,36,78,107,190,84
0,0,1,3,16,35,85,113,158,88
2,0,1,1,18,47,111,143,172,122
0,0,2,7,16,27,51,74,113,60
1,0,1,3,11,23,60,68,85,53
1,0,1,7,15,32,88,114,151,88
2,0,0,6,9,28,57,86,94,61
2,0,2,5,14,20,61,95,95,59
2,0,3,3,8,25,66,71,98,62
0,0,0,6,8,29,58,92,99,46
2,0,1,4,3,17,43,49,53,34
0,0,0,5,4,18,43,48,45,51
1,0,1,7,9,26,77,71,88,45
1,0,0,6,4,21,31,46,49,42
0,0,1,1,3,14,48,43,49,34
1,0,0,5,10,14,31,43,55,31
0,0,1,6,4,9,41,37,44,32
1,0,0,1,6,12,24,37,24,23
1,0,1,1,3,15,26,31,24,29
0,0,0,2,6,11,27,28,36,28
0,0,1,2,8,16,31,35,39,23
1,0,1,2,6,10,9,33,22,21
1,0,1,2,4,11,23,27,19,14
2,0,0,4,5,11,23,25,21,30
0,0,0,0,2,11,13,9,16,26
0,0,0,1,4,5,8,14,15,11
0,0,0,1,3,7,21,24,19,16
0,0,0,1,2,6,14,16,17,14
1,0,0,0,1,10,17,14,15,10
0,0,0,1,4,3,17,12,16,28
1,0,0,0,1,2,1,18,14,8
0,0,1,1,3,3,5,14,8,11
0,0,0,0,0,3,8,4,7,8
0,0,0,0,2,2,9,8,7,5
0,0,0,1,3,5,11,7,17,10
0,0,0,1,2,1,7,8,12,4
1,0,0,0,1,3,6,10,4,7
