"","datum_zhopname","0-4","5-9","10-19","20-29","30-39","40-49","50-59","60-69","70-79","80-99"
"1",2020-01-08,0,0,0,0,0,0,0,0,0,1
"2",2020-01-09,0,0,0,0,0,0,0,0,0,0
"3",2020-01-10,0,0,0,0,0,0,0,0,0,0
"4",2020-01-11,0,0,0,0,0,0,0,0,0,0
"5",2020-01-12,0,0,0,0,0,0,0,0,0,0
"6",2020-01-13,0,0,0,0,0,0,0,0,0,0
"7",2020-01-14,0,0,0,0,0,0,0,0,0,0
"8",2020-01-15,0,0,0,0,0,0,0,0,0,0
"9",2020-01-16,0,0,0,0,0,0,0,0,0,0
"10",2020-01-17,0,0,0,0,0,0,0,0,0,0
"11",2020-01-18,0,0,0,0,0,0,0,0,0,0
"12",2020-01-19,0,0,0,0,0,0,0,0,0,0
"13",2020-01-20,0,0,0,0,0,0,0,1,0,0
"14",2020-01-21,0,0,0,0,0,0,0,0,1,0
"15",2020-01-22,0,0,0,0,0,1,0,0,0,0
"16",2020-01-23,0,0,0,0,0,0,0,0,0,0
"17",2020-01-24,0,0,0,0,0,0,0,0,0,0
"18",2020-01-25,0,0,0,0,0,0,0,0,0,0
"19",2020-01-26,0,0,0,0,0,0,0,0,0,0
"20",2020-01-27,0,0,0,0,0,0,0,0,0,0
"21",2020-01-28,0,0,0,0,0,0,0,0,0,0
"22",2020-01-29,0,0,0,0,0,0,0,0,1,0
"23",2020-01-30,0,0,0,0,0,0,0,1,0,0
"24",2020-01-31,0,0,0,0,0,0,0,0,0,0
"25",2020-02-01,0,0,0,0,0,0,0,1,0,0
"26",2020-02-02,0,0,0,0,0,0,0,0,0,0
"27",2020-02-03,0,0,0,0,0,0,0,0,0,1
"28",2020-02-04,0,0,0,0,1,0,0,1,0,1
"29",2020-02-05,0,0,0,0,0,0,0,0,0,0
"30",2020-02-06,0,0,0,0,0,0,0,0,0,0
"31",2020-02-07,0,0,0,0,0,0,0,0,2,0
"32",2020-02-08,0,0,0,0,0,0,0,0,0,0
"33",2020-02-09,0,0,0,0,0,0,0,0,0,0
"34",2020-02-10,0,0,0,0,0,0,0,0,1,0
"35",2020-02-11,0,0,0,0,0,0,0,0,1,0
"36",2020-02-12,0,0,0,0,0,0,0,0,0,0
