"V1","V2","V3","V4","V5","V6","V7","V8"
0.000930077,0.000977705,0.00224739,0.00531951,0.0134518,0.0163318,0.0285823,0.0422391
0.000995332,0.00111152,0.00228845,0.00561099,0.0149836,0.016304,0.0333248,0.0448822
0.00179666,0.00131069,0.0044688,0.00903409,0.0243615,0.0411646,0.0882703,0.124877
0.000470728,0.000823305,0.0020482,0.00495926,0.0108657,0.0124703,0.0232254,0.0303589
0.000762619,0.000979196,0.00270367,0.00567364,0.0150601,0.0180305,0.0311175,0.0493284
0.000684135,0.000805907,0.0021372,0.00524803,0.014353,0.0158983,0.0273179,0.0415063
0.00160003,0.00112784,0.00279855,0.00638076,0.0166413,0.0221208,0.0372161,0.0567806
0.000730196,0.000784658,0.00151727,0.00439862,0.00992016,0.0147947,0.0252832,0.035607
0.000900799,0.000958853,0.00243029,0.00711996,0.0151839,0.0193257,0.0326185,0.0440719
0.00110838,0.00105977,0.00280207,0.00668518,0.0167554,0.0204144,0.0378977,0.0586005
0.000834707,0.00117034,0.00232702,0.00580469,0.0143044,0.0143478,0.0241913,0.0364637
0.000786855,0.000968107,0.00222637,0.00666717,0.0151951,0.0193034,0.0337607,0.053923
0.000998739,0.00112244,0.00267673,0.00639331,0.016782,0.0187247,0.0279916,0.0441736
0.000820414,0.00069933,0.00193079,0.00501005,0.0108681,0.0129582,0.0224974,0.0338545
0.000824823,0.00120054,0.00230816,0.00608949,0.0147524,0.0152402,0.029556,0.0443468
0.00090067,0.0010876,0.00220457,0.00559818,0.0145459,0.0167929,0.0311692,0.0420831
0.000732198,0.000981639,0.00216391,0.00529722,0.0129989,0.016263,0.0281154,0.0419312
0.000708475,0.00109855,0.00247888,0.00607329,0.0144137,0.0141282,0.0244926,0.0383271
0.00060027,0.000845295,0.00189563,0.00465924,0.0111542,0.0141608,0.0264315,0.0373068
0.000720134,0.000980994,0.00250403,0.00621133,0.0152398,0.0157618,0.027782,0.041666
0.000855474,0.000969044,0.00227728,0.00579178,0.0137846,0.0205232,0.0358883,0.0551659
0.000678611,0.000815596,0.00242173,0.00653297,0.0155993,0.0167446,0.0306203,0.0432058
0.000798941,0.000700093,0.00168056,0.00466566,0.0114168,0.0109831,0.0205741,0.0317443
0.0011497,0.00112467,0.00256997,0.00592237,0.0145464,0.0201374,0.0389943,0.050158
0.000965035,0.00112778,0.00267617,0.00702919,0.0163055,0.0185089,0.0296708,0.0427296
0.0014472,0.00123711,0.0029911,0.00832969,0.0191417,0.0262667,0.0474424,0.0750965
0.00103003,0.00132305,0.00274974,0.00754774,0.0201741,0.023429,0.044221,0.063231
0.000637843,0.000837684,0.00222293,0.00487314,0.0129828,0.0145787,0.025783,0.0394927
0.000554008,0.00102302,0.00233102,0.00621157,0.0148316,0.0154657,0.026602,0.0389116
0.00105533,0.00102129,0.00223964,0.00588642,0.0148351,0.0197753,0.0356781,0.0519528
0.00107977,0.00133525,0.00269034,0.0081231,0.0191379,0.0219281,0.0400942,0.0562941
0.000955682,0.00115464,0.0021568,0.00590196,0.0140427,0.0184329,0.0305211,0.0459822
0.000705391,0.0010682,0.0020746,0.00533179,0.0130212,0.0140536,0.0261677,0.0357246
0.000801756,0.00112133,0.00299459,0.00772576,0.0175983,0.0198052,0.0354657,0.0537568
0.000751422,0.000944121,0.00223976,0.00527317,0.0129974,0.0119926,0.0213196,0.0293951
0.00102837,0.00124099,0.00242422,0.00650302,0.0171658,0.0158044,0.0268694,0.0382155
0.000976943,0.00137467,0.00242637,0.00600822,0.0166034,0.016469,0.0301672,0.0456926
0.000956311,0.00109439,0.00276503,0.00680811,0.0171875,0.024337,0.0440276,0.0617284
0.000638657,0.00080159,0.00228486,0.00494242,0.0130209,0.0131838,0.024594,0.0356216
0.00134254,0.00149757,0.00362189,0.0102749,0.0231511,0.0305593,0.054626,0.0778496
0.000727676,0.00108185,0.00229888,0.00623518,0.0140348,0.013594,0.0228932,0.0344116
0.00165337,0.0013998,0.00368289,0.00894455,0.0255593,0.0325433,0.0538814,0.0849739
0.0012643,0.00116715,0.00253122,0.00713852,0.0169008,0.0243005,0.0473145,0.0663847
0.000831778,0.000758779,0.00193458,0.00527744,0.0133303,0.0149444,0.0266855,0.0364599
0.00106318,0.00118066,0.00311948,0.00671127,0.0171459,0.0194258,0.0362868,0.0518796
0.00158996,0.00146936,0.00360172,0.00858996,0.0238393,0.0299041,0.0592461,0.0798543
0.000665404,0.000785195,0.00167856,0.00413982,0.010496,0.0136341,0.0227333,0.0336096
0.00057238,0.000854837,0.0019517,0.00441962,0.0113513,0.0134442,0.0221306,0.0332108
0.00162788,0.00152522,0.00361014,0.00828118,0.0225267,0.0298074,0.0557841,0.0824731
0.00082292,0.0012874,0.00268133,0.00702822,0.0168026,0.0155593,0.0239779,0.0382066
0.0014769,0.00121709,0.00271943,0.00767531,0.0184212,0.0265616,0.0529204,0.0765034
0.00104068,0.00122894,0.0025224,0.00601631,0.0168906,0.0164036,0.0274503,0.0395159
0.000641439,0.000761758,0.00189887,0.00431278,0.010626,0.0134106,0.0238566,0.0368377
0.000800375,0.00125748,0.00317306,0.00746806,0.0192908,0.0227257,0.0432287,0.0582844
0.000818513,0.00107452,0.00299745,0.00675498,0.0166924,0.0174482,0.0316364,0.048383
0.000660387,0.00106624,0.00213648,0.00534293,0.0145757,0.0136826,0.0236792,0.0371057
0.000753553,0.00113864,0.00219736,0.00586167,0.0140238,0.0153163,0.0280052,0.0388103
