"[0,5)","[5,10)","[10,20)","[20,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)","[80,Inf)"
-3.67663237841962,-3.67663237841962,-3.67663237841962,-3.65492243571569,-3.29290013838096,-2.91736540269724,-2.51089126353027,-2.42537039730409,-2.17686368685556,-2.00109667417151
-3.67704096693774,-3.67704096693774,-3.67704096693774,-3.62904118705389,-3.31490615661995,-2.9239569854617,-2.49326908498169,-2.45601013569288,-2.13795513026393,-2.00342485194059
-3.90282254395509,-3.90282254395509,-3.90282254395509,-4.03999801872898,-3.50593171666617,-3.1982424121555,-2.76065296385079,-2.52528705890684,-2.17211982677685,-2.00365516048822
-3.97804205987195,-3.97804205987195,-3.97804205987195,-3.73509957448303,-3.33875444362791,-2.95344240788182,-2.61021393768307,-2.54969083383066,-2.27484823106523,-2.1553420611713
-3.95277966628838,-3.95277966628838,-3.95277966628838,-3.8441267416325,-3.40229055716642,-3.07908762224961,-2.65100043220609,-2.57151046100013,-2.32868642793226,-2.12035371288727
-3.9720513568275,-3.9720513568275,-3.9720513568275,-3.90085478932859,-3.47671407743194,-3.08520796894515,-2.64426887429192,-2.59918063060584,-2.35901300867565,-2.17096460755716
-3.66627873283505,-3.66627873283505,-3.66627873283505,-3.8183650377962,-3.42295191265248,-3.06344956520869,-2.64262743293967,-2.51658674094182,-2.28389978609283,-2.09151444495565
-3.73673566666551,-3.73673566666551,-3.73673566666551,-3.70546984686858,-3.41877078281475,-2.95526038470986,-2.59964336425549,-2.42391215821505,-2.18653777485455,-2.0332098920629
-3.56204184965688,-3.56204184965688,-3.56204184965688,-3.53489238807726,-3.13034651522511,-2.66148175331379,-2.329034631065,-2.22245066439606,-1.98919563870122,-1.85332633700987
-3.72421198958076,-3.72421198958076,-3.72421198958076,-3.74371050728155,-3.32068568897292,-2.94135764144808,-2.53788963022474,-2.45048668025322,-2.1739913188058,-1.97525580291055
-3.6788491420393,-3.6788491420393,-3.6788491420393,-3.53192455802667,-3.23293397164035,-2.83443815832751,-2.43901913785998,-2.43768333923756,-2.20645056895002,-2.0227530086179
-3.87287575604896,-3.87287575604896,-3.87287575604896,-3.78276880974749,-3.42054796517879,-2.94226544876386,-2.58076151194181,-2.47501353494647,-2.22578678165177,-2.01326587636896
-3.77858315379023,-3.77858315379023,-3.77858315379023,-3.72781945092462,-3.3497002495458,-2.96995918960602,-2.54627508155262,-2.4978447405654,-2.31911177031976,-2.11368528435699
-3.56701468379462,-3.56701468379462,-3.56701468379462,-3.63641810215275,-3.19482889583093,-2.77937943301179,-2.44050273784229,-2.36319527453955,-2.1193881729382,-1.9368280769498
-3.7339800911465,-3.7339800911465,-3.7339800911465,-3.57080183917581,-3.28643134132665,-2.86346650505862,-2.47538451397164,-2.46103939370788,-2.16702574745373,-1.98413749190269
-3.69592112681613,-3.69592112681613,-3.69592112681613,-3.6139346535565,-3.30659493506911,-2.90039186243152,-2.48177173558199,-2.41839732444655,-2.1433997861531,-2.00809730679037
-3.85999819554148,-3.85999819554148,-3.85999819554148,-3.7325677730496,-3.38876541543801,-2.99859083159412,-2.60535573126468,-2.50662282035406,-2.26361624784026,-2.08380459941424
-3.90471903702035,-3.90471903702035,-3.90471903702035,-3.71405807194388,-3.36001873681047,-2.96928291700593,-2.59027139809605,-2.59908572755388,-2.35554959315602,-2.15487528271551
-3.74026758941579,-3.74026758941579,-3.74026758941579,-3.59149885796307,-3.24029741314149,-2.84853208444248,-2.46656478384779,-2.36159261776832,-2.08511972912165,-1.93057612366626
-3.67513750074068,-3.67513750074068,-3.67513750074068,-3.54077191175072,-3.13313634766999,-2.73697497675066,-2.34321590535116,-2.32835792834204,-2.07686482775462,-1.89459882831005
-3.78716011177212,-3.78716011177212,-3.78716011177212,-3.73297384333133,-3.36133207012093,-2.95440322813242,-2.57431745349046,-2.39848756475205,-2.14891417997396,-1.95342290103965
-3.94490466390337,-3.94490466390337,-3.94490466390337,-3.86499145049059,-3.3916408702615,-2.95886401925122,-2.57688853232152,-2.54561405830174,-2.27730521470143,-2.12209734291449
-3.70019862248879,-3.70019862248879,-3.70019862248879,-3.75760021256233,-3.3768768801344,-2.93211490778894,-2.54052910503753,-2.55753904554447,-2.28071181308055,-2.08738475808207
-3.69346775248039,-3.69346775248039,-3.69346775248039,-3.70303880076513,-3.34350603218628,-2.97947713019542,-2.58543274013109,-2.44171393231266,-2.14627685046117,-2.03186275665521
