"epsilon","zeta","gamma","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","inoculum","p_short[1]","p_short[2]","p_short[3]","p_short[4]","p_short[5]","p_short[6]","p_short[7]","p_short[8]","x0","k","alpha","beta_short[1]","beta_short[2]","beta_short[3]","r"
0.0766537,0.594232,0.235822,0.00019103,0.00022192,0.000538733,0.00134531,0.00338959,0.00430152,0.00711074,0.0109973,4.34976e-05,0.000809402,0.000940164,0.00227928,0.00567241,0.0141698,0.0179137,0.0292704,0.0445559,28.3974,0.597454,0.422119,0.242883,0.617221,1,16.1807
0.0718148,0.622735,0.233017,0.000185772,0.000242434,0.000491108,0.00133728,0.00318862,0.00403236,0.00684776,0.010766,5.03574e-05,0.00079661,0.00103933,0.00210317,0.00570621,0.0134993,0.0170106,0.0285483,0.0441622,28.5242,0.516521,0.462005,0.235963,0.629445,1,15.9732
0.0583867,0.330725,0.138179,0.000170908,0.000218397,0.000467069,0.001093,0.0030787,0.00364215,0.00704581,0.00995354,4.67544e-05,0.00123533,0.00157804,0.00336878,0.00784795,0.0217949,0.0256813,0.0485165,0.0671934,27.7532,0.486921,0.392322,0.238831,0.655986,1,16.0661
0.0589065,0.334824,0.139552,0.000165879,0.00021224,0.000465749,0.0010997,0.00313309,0.00356675,0.00688584,0.00988444,4.49985e-05,0.00118724,0.00151856,0.00332636,0.00781862,0.0219581,0.0249216,0.0470223,0.0661449,27.8808,0.541769,0.388302,0.242634,0.657645,1,16.02
0.0769089,0.528434,0.227763,0.000230288,0.000252724,0.000540288,0.00148204,0.00334936,0.00498595,0.00812836,0.0131426,3.34654e-05,0.00101007,0.00110836,0.00236654,0.00646487,0.0144924,0.021422,0.0344581,0.054555,27.6983,0.4677,0.384933,0.236037,0.667748,1,14.6242
0.0762571,0.667312,0.242802,0.000174299,0.000212423,0.000496199,0.00118504,0.00310708,0.00369426,0.0058381,0.00893027,4.50438e-05,0.000717347,0.000874116,0.00203946,0.00485698,0.0126351,0.014987,0.0234801,0.0354752,27.787,0.320948,0.54619,0.230216,0.589241,1,15.9033
0.0928347,0.469665,0.244571,0.000258224,0.000360906,0.000830522,0.00182108,0.00533928,0.00485499,0.00913164,0.0130662,4.47379e-05,0.00105471,0.00147349,0.00338434,0.007391,0.0213648,0.0194646,0.0359935,0.0507156,28.7084,0.503253,0.298168,0.238405,0.559314,1,18.7448
0.113832,0.666065,0.360495,0.000241864,0.000298961,0.000679291,0.0019323,0.00442262,0.0048478,0.00877278,0.0115529,4.65053e-05,0.00067047,0.000828618,0.00188078,0.00533154,0.0121195,0.0132692,0.0237572,0.0310523,28.2629,0.361347,0.35488,0.223694,0.573433,1,16.1923
0.0951197,0.659991,0.286134,0.000295727,0.000289943,0.000695058,0.00157578,0.00416775,0.00410358,0.00718529,0.00983285,3.75205e-05,0.00103246,0.00101229,0.00242324,0.00547699,0.0143566,0.0141387,0.0244965,0.0332228,28.4713,0.404035,0.448631,0.211401,0.540247,1,19.9752
0.102921,0.858328,0.365591,0.000263049,0.000303969,0.000637241,0.00171332,0.00384466,0.00417714,0.00686653,0.00945892,3.09108e-05,0.000718999,0.000830755,0.00174001,0.00466458,0.0104069,0.0112967,0.0184357,0.0252204,28.3961,0.408032,0.571914,0.208226,0.565519,1,20.5682
0.0956594,0.512575,0.251951,0.000199793,0.000235072,0.000587672,0.00158841,0.00356116,0.00375418,0.00651605,0.00933402,3.21341e-05,0.000792357,0.000932137,0.00232706,0.00626495,0.0139374,0.0146817,0.0252104,0.0357236,26.9627,0.309996,0.384856,0.228585,0.573994,1,15.5595
0.103333,0.655234,0.320256,0.000219507,0.000320739,0.000664954,0.0015093,0.00406472,0.0041245,0.00765679,0.0102548,2.84003e-05,0.000684943,0.00100051,0.00207202,0.0046907,0.012533,0.012715,0.0233501,0.0310272,27.7992,0.341222,0.433856,0.233188,0.578416,1,17.1363
0.0829458,0.634678,0.272573,0.000168643,0.000220916,0.000578196,0.00134972,0.00344998,0.00406461,0.00673385,0.0108242,4.5453e-05,0.000618323,0.000809826,0.00211676,0.00492737,0.0124989,0.0146929,0.0241091,0.0381943,28.3577,0.354876,0.427972,0.228617,0.633232,1,14.4881
0.0766492,0.629834,0.250962,0.000265429,0.000236427,0.000574864,0.00134026,0.00343369,0.00423403,0.00827004,0.0111226,4.53875e-05,0.00105653,0.000941195,0.0022854,0.0053121,0.0134974,0.0165913,0.031902,0.0424389,28.1035,0.446219,0.442362,0.232115,0.640877,1,15.9738
0.0792528,0.695225,0.278927,0.000255557,0.000262962,0.000645534,0.00149841,0.00373565,0.00445513,0.00840561,0.0112393,3.73281e-05,0.000915377,0.000941876,0.00230901,0.00534335,0.013216,0.0157213,0.029254,0.038734,28.5058,0.365907,0.498031,0.21162,0.656611,1,13.7165
